datetime,headline,sentiment,confidence,score
2025-04-14T20:36:21.364970,Trade Without Trade-Offs on Kraken Pro! + (Moons Giveaway),neutral,0.832,0
2025-04-14T20:36:21.497149,"Daily Crypto Discussion - April 14, 2025 (GMT+0)",positive,0.999,0.999
2025-04-14T20:36:21.629596,From Freak to Fortune...,positive,1.0,1.0
2025-04-14T20:36:21.764571,Mantra just got rugpulled,negative,1.0,-1.0
2025-04-14T20:36:21.952100,I found some luck today.,positive,0.997,0.997
2025-04-14T20:36:22.127780,Dow futures jump 400 points as U.S. tariff exemptions boost tech stocks,negative,0.999,-0.999
2025-04-14T20:36:22.241240,Apple and Nvidia shares — and Nasdaq futures — rising with tariff-relief hopes,neutral,0.999,0
2025-04-14T20:36:22.352237,Economic calendar: Two regional Fed presidents scheduled to speak Monday,positive,0.998,0.998
2025-04-14T20:36:22.474551,"Op-ed: NYSE systems are working normally, handling record volume more efficiently than during Covid crash, president says",neutral,0.987,0
2025-04-14T20:36:22.626078,Argentina Assets Surge After Lifting FX Controls Amid IMF Deal,negative,1.0,-1.0
